iter	Passed	Remaining
553	3153	2538
554	3156	2530
555	3158	2522
556	3166	2518
557	3169	2510
558	3172	2502
559	3175	2495
560	3178	2487
561	3181	2479
562	3184	2472
563	3188	2464
564	3191	2457
565	3197	2451
566	3200	2443
567	3203	2436
568	3206	2428
569	3237	2442
570	3240	2434
571	3245	2428
572	3249	2421
573	3252	2413
574	3260	2410
575	3263	2402
576	3266	2394
577	3272	2388
578	3275	2381
579	3277	2373
580	3280	2365
581	3283	2358
582	3295	2357
583	3298	2349
584	3304	2344
585	3307	2336
586	3320	2335
587	3322	2328
588	3327	2321
589	3330	2314
590	3336	2308
591	3339	2301
592	3342	2294
593	3346	2287
594	3351	2281
595	3354	2273
596	3357	2266
597	3360	2258
598	3367	2254
599	3370	2247
600	3376	2241
601	3382	2236
602	3385	2229
603	3392	2224
604	3397	2218
605	3400	2211
606	3403	2203
607	3407	2196
608	3412	2191
609	3415	2183
610	3418	2176
611	3423	2170
612	3432	2166
613	3435	2159
614	3440	2153
615	3443	2146
616	3447	2140
617	3452	2133
618	3457	2128
619	3460	2121
620	3463	2113
621	3466	2106
622	3473	2102
623	3476	2095
624	3479	2087
625	3481	2080
626	3487	2074
627	3506	2076
628	3508	2069
629	3512	2062
630	3555	2079
631	3557	2071
632	3559	2063
633	3561	2056
634	3569	2051
635	3572	2044
636	3575	2037
637	3578	2030
638	3585	2025
639	3587	2018
640	3590	2011
641	3593	2003
642	3599	1998
643	3602	1991
644	3605	1984
645	3609	1977
646	3615	1972
647	3618	1965
648	3622	1958
649	3624	1951
650	3630	1946
651	3632	1938
652	3635	1932
653	3639	1925
654	3642	1918
655	3645	1911
656	3649	1905
657	3652	1898
658	3658	1893
659	3661	1886
660	3665	1879
661	3668	1873
662	3674	1867
663	3677	1861
664	3717	1872
665	3721	1866
666	3723	1859
667	3726	1852
668	3729	1845
669	3739	1841
670	3742	1835
671	3746	1828
672	3750	1822
673	3757	1817
674	3761	1811
675	3767	1805
676	3770	1799
677	3774	1792
678	3777	1785
679	3786	1781
680	3789	1775
681	3793	1768
682	3800	1764
683	3804	1757
684	3807	1751
685	3811	1744
686	3816	1738
687	3820	1732
688	3823	1725
689	3827	1719
690	3830	1712
691	3832	1705
692	3836	1699
693	3840	1693
694	3843	1686
695	3846	1680
696	3849	1673
697	3852	1666
698	3898	1678
699	3900	1671
700	3906	1666
701	3911	1660
702	3913	1653
703	3916	1646
704	3933	1645
705	3938	1640
706	3941	1633
707	3945	1627
708	3948	1620
709	3954	1615
710	3957	1608
711	3961	1602
712	3965	1596
713	3969	1590
714	3973	1583
715	3976	1577
716	3984	1572
717	3987	1566
718	3990	1559
719	3993	1553
720	3997	1546
721	4000	1540
722	4003	1533
723	4008	1528
724	4013	1522
725	4016	1515
726	4019	1509
727	4022	1502
728	4028	1497
729	4030	1490
730	4033	1484
731	4039	1479
732	4042	1472
733	4060	1471
734	4078	1470
735	4082	1464
736	4085	1457
737	4119	1462
738	4124	1456
739	4127	1450
740	4131	1443
